id,text,type
768608350737014785,Italian victims asked to disable WiFi passwords| This is making it able for malicious people to access info.  https://t.co/ekRnC0kyDE,0
768611530740948993,Modern #disasterrelief MT @engadget: #Italianearthquake residents asked to disable WiFi p/w https://t.co/kk2NZ0j6J3 https://t.co/LqbZVm37je,0
768387927520976896,"Go to blood donations!
#terremoto #earthquake",0
768433982002245633,"#News
Italian rescue worker reassures woman buried under #earthquake rubble 
#Capodacqua #Italy
🙏 DONATE BLOOD🆘
https://t.co/LrnUo407jL",0
768408502553509888,"Italy earthquake Blood Donation Emergency:
Below is the emergency phone number for the… https://t.co/Ib3iHi1d4r",0
768288931158695937,"Actions does more than thoughts or prayers! Like donating blood, food, water and shelter. #ItalyEarthquake #Italy #Earthquake",0
768597868051652608,New post on my blog: Italian earthquake victims asked to disable WiFi passwords https://t.co/AQR3xo9bCI,0
768363682837499904,Thoughts and prayers for the victims of the devastating earthquake in Central Italy. Please donate blood if you live in the area #earthquake,0
768352564601561088,If you live in central #Italy please consider donating blood to help the victims of the #earthquake this morning. https://t.co/Zgq6JA1dRT,0
768340979413815296,"Rieti hospital in Italy is asking for blood donors of all blood types #terremoto #italyearthquake

https://t.co/OVEt4hiZdd",0
768499618581581825,People urged to remove password from WiFi to help Italian earthquake relief: Multiple organizations and insti... https://t.co/amUrkaQEIk,0
768482875947651072,( ! #Axeliito_x3 ! ) People urged to remove password from WiFi to help Italian earthquake... https://t.co/jZkrQftJxH - $ #WizKhalifa $ -,0
768394761648611328,@SoniaCerca so did the loss of wifi have anything to do with the earthquake or no?,0
768285039759069186,"#Earthquake in Italy: at #Amatrice town high damages, streets blocked and one bridge fell down. Mayor ask for help. https://t.co/TFOJ89HXaJ",0
768341571318255617,International tourists in Central Italy: stay away from Via Salaria. Rescue teams and emergency vehicles need it free #Earthquake #terremoto,0
768458079402885120,"Unable to get into the hospital, earthquake victims are being treated in the parking lot. #ItalyEarthquake  https://t.co/UzQRaysXtr",0
768559917892370433,Italy Earthquake Emphasizes The Need For Mobile Hospitals: BLU-MED Response Systems' Disaster Response Stockpile… https://t.co/wufBk3MrBF,0
768538386172878852,Italian Red Cross urges people near earthquake epicenter to open their Wi-Fi nets by removing the password - https://t.co/qpOIXY3fQO,0
768346610573148160,"If you're traveling through Central Italy and read this, please consider going to give blood. All types are needed. #earthquake #terremoto",0
